ID,Buses,Estacion,Rutas,Tarifa,Altitud,Longitud
58,B,Canaval Moreyra,Alimentador,1.5,-8506,-77564
59,Expreso1,Naranjal,Ruta Troncal,2.5,-6477,-70818
60,B,Escuela Militar,Ruta Troncal,2.5,-7939,-75991
61,D,Estacion F,Ruta Troncal,2.5,-7810,-73035
62,A,España,Ruta Troncal,2.5,-5987,-74335
63,Expreso3,Angamos,Ruta Troncal,2.5,-8024,-71253
64,Expreso8,Uni,Alimentador,1.5,-8270,-78634
65,B,Dos de Mayo,Alimentador,1.5,-7054,-75791
66,SXN,Tomas Valle,Ruta Troncal,2.5,-9793,-78238
67,Expreso6,Ramon,Alimentador,1.5,-7511,-76589
68,Expreso7,Bulevar,Ruta Troncal,2.5,-5222,-78465
69,Expreso3,España,Alimentador,1.5,-6681,-77763
70,SX,Teran,Ruta Troncal,2.5,-5943,-70181
71,Expreso7,Estacion B,Alimentador,1.5,-7613,-71162
72,Expreso6,Parque del trabajo,Alimentador,1.5,-8740,-72146
73,B,España,Ruta Troncal,2.5,-7189,-77955
74,Expreso6,Balta,Ruta Troncal,2.5,-8335,-78490
75,A,Parque del trabajo,Ruta Troncal,2.5,-9749,-75287
76,SX,Estadio Nacional,Alimentador,1.5,-9337,-72057
77,Expreso4,Tomas Valle,Ruta Troncal,2.5,-5083,-74961
78,Expreso8,Estacion C,Ruta Troncal,2.5,-8117,-72957
79,SXN,Pacifico,Ruta Troncal,2.5,-9970,-73487
80,Expreso9,Mexico,Ruta Troncal,2.5,-6209,-70537
81,Expreso2,Estacion D,Ruta Troncal,2.5,-8045,-75885
82,Expreso5,Uni,Alimentador,1.5,-6900,-77369
83,Expreso7,Tacna,Ruta Troncal,2.5,-6577,-76095
84,Expreso7,Canada,Ruta Troncal,2.5,-8577,-73974
85,Expreso8,Quilca,Alimentador,1.5,-8163,-76961
86,SXN,Colmena,Alimentador,1.5,-5090,-79343
87,Expreso2,Canada,Ruta Troncal,2.5,-9587,-71374
88,Expreso8,España,Alimentador,1.5,-8252,-76668
89,B,Estacion F,Alimentador,1.5,-7415,-74419
90,Expreso1,Aramburu,Alimentador,1.5,-5874,-71821
91,Expreso4,Izaguirre,Ruta Troncal,2.5,-9309,-78811
92,SX,Central,Ruta Troncal,2.5,-8800,-73801
93,Expreso8,Aramburu,Alimentador,1.5,-7028,-71156
94,Expreso1,España,Ruta Troncal,2.5,-6685,-76108
95,B,Estacion A,Ruta Troncal,2.5,-6864,-72778
96,Expreso8,Benavides,Alimentador,1.5,-5949,-79601
97,SX,Estacion D,Alimentador,1.5,-5533,-73868
98,Expreso1,Naranjal,Alimentador,1.5,-9400,-79688
99,Expreso9,Javier Prado,Alimentador,1.5,-9055,-73194
100,SXN,Bulevar,Alimentador,1.5,-6842,-74316
101,Expreso6,El milagro,Alimentador,1.5,-9842,-74144
102,Expreso7,Quilca,Alimentador,1.5,-8076,-79880
103,Expreso6,Escuela Militar,Ruta Troncal,2.5,-5608,-78623
104,Expreso2,Estacion F,Ruta Troncal,2.5,-7538,-73214
105,D,28 de Julio,Alimentador,1.5,-6759,-71898
106,Expreso4,Estacion E,Ruta Troncal,2.5,-6629,-76292
107,Expreso9,Estacion D,Ruta Troncal,2.5,-7047,-73935
108,Expreso1,Independencia,Alimentador,1.5,-7640,-70688
109,SX,Angamos,Alimentador,1.5,-6831,-73218
110,Expreso9,Quilca,Alimentador,1.5,-6076,-75081
111,Expreso9,Naranjal,Ruta Troncal,2.5,-6722,-75023
112,B,Benavides,Alimentador,1.5,-5082,-73315
113,C,Estacion E,Ruta Troncal,2.5,-5385,-70218
114,Expreso3,Estadio Nacional,Alimentador,1.5,-9528,-78071
115,Expreso3,España,Alimentador,1.5,-6607,-74105
116,Expreso6,Tomas Valle,Ruta Troncal,2.5,-8643,-77277
117,Expreso8,Estacion B,Alimentador,1.5,-9553,-78766
118,SX,Dos de Mayo,Alimentador,1.5,-6272,-73734
119,Expreso8,Colmena,Ruta Troncal,2.5,-9686,-79710
120,Expreso6,Dos de Mayo,Ruta Troncal,2.5,-7420,-77579
121,Expreso1,Parque del trabajo,Alimentador,1.5,-8971,-78903
122,Expreso1,Caqueta,Alimentador,1.5,-7323,-79642
123,SXN,Ricardo Palma,Alimentador,1.5,-5911,-71121
124,D,Bulevar,Alimentador,1.5,-6781,-75994
125,SX,Matellini,Alimentador,1.5,-5198,-77675
126,Expreso7,Estadio Nacional,Ruta Troncal,2.5,-9454,-77093
127,Expreso5,Ricardo Palma,Alimentador,1.5,-7686,-77520
128,Expreso7,Estacion A,Alimentador,1.5,-5364,-74490
129,Expreso2,Dos de Mayo,Ruta Troncal,2.5,-7189,-71151
130,Expreso9,Central,Ruta Troncal,2.5,-9550,-77623
131,A,Caqueta,Alimentador,1.5,-8111,-71524
132,Expreso6,Rosario de Villa,Ruta Troncal,2.5,-5042,-78328
133,Expreso1,Estadio Union,Alimentador,1.5,-9208,-71918
134,Expreso8,28 de Julio,Ruta Troncal,2.5,-7284,-73946
135,B,Independencia,Alimentador,1.5,-8523,-71862
136,Expreso6,Honorio Delgado,Ruta Troncal,2.5,-5481,-75067
137,A,Estacion B,Alimentador,1.5,-7871,-72640
138,SX,Caqueta,Ruta Troncal,2.5,-7869,-72655
139,Expreso3,Caqueta,Ruta Troncal,2.5,-5187,-70472
140,Expreso8,Estacion A,Alimentador,1.5,-9328,-78997
141,Expreso3,28 de Julio,Alimentador,1.5,-5204,-79816
142,Expreso2,Plaza de Flores,Ruta Troncal,2.5,-6516,-73104
143,Expreso6,Estacion D,Alimentador,1.5,-9181,-72560
144,A,Los jasmines,Alimentador,1.5,-7420,-72994
145,Expreso7,Aramburu,Ruta Troncal,2.5,-5497,-79692
146,Expreso4,Jiron de la Union,Alimentador,1.5,-7197,-73636
147,A,Tomas Valle,Alimentador,1.5,-9555,-72202
148,Expreso3,Canaval Moreyra,Ruta Troncal,2.5,-6947,-72111
149,B,Angamos,Ruta Troncal,2.5,-8202,-79320
150,A,Javier Prado,Alimentador,1.5,-7225,-72924
151,SXN,Ricardo Palma,Alimentador,1.5,-9909,-74652
152,Expreso5,Estacion C,Ruta Troncal,2.5,-5580,-72871
153,SXN,Estadio Union,Ruta Troncal,2.5,-6421,-77321
154,Expreso3,Naranjal,Ruta Troncal,2.5,-6846,-70573
155,B,Rosario de Villa,Ruta Troncal,2.5,-8321,-70955
156,B,Tomas Valle,Ruta Troncal,2.5,-7607,-73029
157,A,Ricardo Palma,Alimentador,1.5,-5154,-75003
158,D,Estacion B,Ruta Troncal,2.5,-5655,-77665
159,D,Estacion C,Ruta Troncal,2.5,-7582,-75836
160,D,28 de Julio,Alimentador,1.5,-9700,-70111
161,A,Uni,Ruta Troncal,2.5,-8097,-78382
162,D,Ricardo Palma,Alimentador,1.5,-7911,-74482
163,D,Bulevar,Alimentador,1.5,-5565,-70667
164,SXN,Estacion E,Ruta Troncal,2.5,-9844,-74563
165,SXN,Estacion B,Ruta Troncal,2.5,-6484,-71286
166,Expreso5,Honorio Delgado,Alimentador,1.5,-8775,-77379
167,SXN,Estacion A,Ruta Troncal,2.5,-9019,-76779
168,Expreso4,Honorio Delgado,Ruta Troncal,2.5,-6089,-79459
169,C,Benavides,Alimentador,1.5,-5430,-75894
170,Expreso8,Estacion B,Ruta Troncal,2.5,-8561,-72619
171,B,Matellini,Ruta Troncal,2.5,-5679,-77697
172,D,Estacion C,Alimentador,1.5,-5879,-70457
173,Expreso2,Estacion F,Ruta Troncal,2.5,-8621,-71325
174,Expreso5,Ricardo Palma,Ruta Troncal,2.5,-6960,-79552
175,Expreso5,Estacion A,Ruta Troncal,2.5,-5395,-78464
176,Expreso8,Estacion C,Ruta Troncal,2.5,-7349,-74684
177,Expreso4,Estacion B,Alimentador,1.5,-5813,-75577
178,D,Javier Prado,Ruta Troncal,2.5,-8380,-78384
179,C,Estadio Nacional,Alimentador,1.5,-6108,-72536
180,C,Tacna,Ruta Troncal,2.5,-5445,-74836
181,Expreso2,Balta,Alimentador,1.5,-6604,-72150
182,Expreso4,Mexico,Alimentador,1.5,-8074,-70768
183,Expreso6,Estadio Nacional,Alimentador,1.5,-6526,-73798
184,C,Estacion A,Alimentador,1.5,-5151,-70508
185,SX,Rosario de Villa,Alimentador,1.5,-7477,-78260
186,B,Domingo Orue,Ruta Troncal,2.5,-5339,-74047
187,SXN,Honorio Delgado,Ruta Troncal,2.5,-6517,-77906
188,SXN,Pacifico,Ruta Troncal,2.5,-8422,-71852
189,Expreso3,Izaguirre,Ruta Troncal,2.5,-9713,-74502
190,Expreso7,Estacion C,Alimentador,1.5,-6904,-77215
191,C,Canaval Moreyra,Ruta Troncal,2.5,-9925,-70957
192,Expreso1,Naranjal,Ruta Troncal,2.5,-6002,-77644
193,Expreso9,Estacion C,Alimentador,1.5,-7683,-76080
194,Expreso5,Dos de Mayo,Ruta Troncal,2.5,-9214,-71109
195,D,Domingo Orue,Alimentador,1.5,-9768,-78717
196,SXN,Estacion D,Ruta Troncal,2.5,-9475,-77091
197,Expreso3,Estacion E,Alimentador,1.5,-8662,-76646
198,Expreso4,Teran,Alimentador,1.5,-6637,-78577
199,Expreso1,Independencia,Ruta Troncal,2.5,-8621,-73878
200,Expreso1,Estacion B,Ruta Troncal,2.5,-6401,-71861
201,Expreso7,Izaguirre,Ruta Troncal,2.5,-6722,-70533
202,SX,Pacifico,Ruta Troncal,2.5,-8527,-73294
203,Expreso5,Estacion B,Alimentador,1.5,-6874,-71305
204,A,Estadio Union,Alimentador,1.5,-9561,-74842
205,SXN,Quilca,Ruta Troncal,2.5,-5094,-71076
206,C,Bulevar,Alimentador,1.5,-5547,-77422
207,Expreso2,Estacion B,Ruta Troncal,2.5,-9576,-73684
208,A,Estacion B,Alimentador,1.5,-6557,-73997
209,Expreso9,España,Ruta Troncal,2.5,-9939,-70889
210,Expreso8,Izaguirre,Alimentador,1.5,-8360,-79884
211,D,Parque del trabajo,Ruta Troncal,2.5,-8513,-70576
212,Expreso2,Canaval Moreyra,Ruta Troncal,2.5,-8831,-71524
213,C,Plaza de Flores,Ruta Troncal,2.5,-7397,-79651
214,SXN,Benavides,Ruta Troncal,2.5,-7838,-74295
215,Expreso9,Naranjal,Ruta Troncal,2.5,-5287,-77365
216,Expreso4,Mexico,Alimentador,1.5,-7451,-72585
217,SX,Ramon,Ruta Troncal,2.5,-9054,-75093
218,Expreso2,Estacion B,Ruta Troncal,2.5,-7993,-70583
219,Expreso9,Javier Prado,Alimentador,1.5,-6499,-74296
220,Expreso1,Matellini,Ruta Troncal,2.5,-6993,-72380
221,SXN,Aramburu,Alimentador,1.5,-9530,-75669
222,Expreso9,Domingo Orue,Alimentador,1.5,-8818,-77007
223,D,Estacion E,Alimentador,1.5,-7987,-79016
224,Expreso6,Balta,Alimentador,1.5,-5510,-77958
225,B,Matellini,Alimentador,1.5,-9049,-72854
226,Expreso2,Balta,Alimentador,1.5,-9858,-70433
227,Expreso8,Domingo Orue,Alimentador,1.5,-9101,-75429
228,Expreso9,Benavides,Alimentador,1.5,-7546,-74622
229,Expreso1,Naranjal,Ruta Troncal,2.5,-9340,-76770
230,Expreso9,Ramon,Alimentador,1.5,-8601,-70717
231,C,Honorio Delgado,Ruta Troncal,2.5,-7740,-75064
232,Expreso4,Independencia,Alimentador,1.5,-7970,-73174
233,Expreso4,Estacion C,Ruta Troncal,2.5,-9611,-77696
234,Expreso8,Balta,Ruta Troncal,2.5,-6301,-77791
235,D,Angamos,Ruta Troncal,2.5,-7554,-72064
236,Expreso9,Ramon,Alimentador,1.5,-9704,-76260
237,Expreso8,Caqueta,Alimentador,1.5,-7853,-71988
238,Expreso5,Canada,Ruta Troncal,2.5,-6082,-79522
239,Expreso3,Estadio Nacional,Alimentador,1.5,-7533,-70082
240,SX,Estacion E,Ruta Troncal,2.5,-7070,-75677
241,Expreso6,Jiron de la Union,Ruta Troncal,2.5,-7759,-75222
242,Expreso6,Naranjal,Alimentador,1.5,-9672,-78214
243,Expreso7,Rosario de Villa,Ruta Troncal,2.5,-5347,-78723
244,C,Jiron de la Union,Ruta Troncal,2.5,-5062,-76035
245,A,Uni,Alimentador,1.5,-5727,-76029
246,Expreso2,Estadio Union,Ruta Troncal,2.5,-6468,-73129
247,Expreso7,Independencia,Ruta Troncal,2.5,-8804,-72217
248,Expreso4,Rosario de Villa,Ruta Troncal,2.5,-7287,-74603
249,SXN,Pacifico,Ruta Troncal,2.5,-8109,-79418
250,Expreso8,Estadio Union,Ruta Troncal,2.5,-6597,-77071
251,A,Honorio Delgado,Alimentador,1.5,-8181,-71694
252,Expreso4,Plaza de Flores,Ruta Troncal,2.5,-8834,-73863
253,Expreso7,Plaza de Flores,Ruta Troncal,2.5,-7305,-78012
254,SXN,Pacifico,Ruta Troncal,2.5,-6579,-71020
255,Expreso1,Estacion C,Alimentador,1.5,-6315,-71233
256,Expreso6,Rosario de Villa,Alimentador,1.5,-5712,-79993
257,SXN,Javier Prado,Alimentador,1.5,-6382,-74607
258,Expreso7,Rosario de Villa,Alimentador,1.5,-6011,-76095
259,Expreso5,España,Ruta Troncal,2.5,-8960,-73234
260,Expreso4,28 de Julio,Alimentador,1.5,-5112,-79810
261,Expreso9,Teran,Alimentador,1.5,-9607,-79603
262,D,Balta,Alimentador,1.5,-5556,-77701
263,Expreso5,Colmena,Ruta Troncal,2.5,-9517,-76147
264,SX,Colmena,Alimentador,1.5,-6027,-71954
265,B,Plaza de Flores,Ruta Troncal,2.5,-7156,-76766
266,Expreso2,Benavides,Alimentador,1.5,-7804,-70211
267,Expreso5,28 de Julio,Alimentador,1.5,-8519,-79317
268,Expreso4,Javier Prado,Ruta Troncal,2.5,-5735,-73085
269,Expreso1,Honorio Delgado,Alimentador,1.5,-8512,-75202
270,Expreso5,Escuela Militar,Alimentador,1.5,-5565,-78016
271,C,Tacna,Ruta Troncal,2.5,-5046,-76555
272,D,Javier Prado,Ruta Troncal,2.5,-6464,-72939
273,Expreso4,Teran,Alimentador,1.5,-5363,-79412
274,C,Rosario de Villa,Ruta Troncal,2.5,-6994,-75753
275,Expreso1,Honorio Delgado,Alimentador,1.5,-7948,-74534
276,SXN,Rosario de Villa,Ruta Troncal,2.5,-7590,-71430
277,B,Canaval Moreyra,Ruta Troncal,2.5,-8866,-77105
278,Expreso9,Estacion B,Alimentador,1.5,-8433,-71371
279,Expreso6,Estacion E,Alimentador,1.5,-6775,-77970
280,D,España,Alimentador,1.5,-5971,-73021
281,D,Estacion D,Ruta Troncal,2.5,-7674,-74796
282,B,Matellini,Alimentador,1.5,-5633,-78649
283,Expreso5,Tomas Valle,Alimentador,1.5,-8262,-74009
284,SX,Tomas Valle,Ruta Troncal,2.5,-8300,-77229
285,C,Escuela Militar,Ruta Troncal,2.5,-9493,-78380
286,Expreso1,Teran,Alimentador,1.5,-5081,-75086
287,Expreso9,Bulevar,Alimentador,1.5,-5972,-76680
288,Expreso2,Naranjal,Alimentador,1.5,-5158,-78127
289,Expreso2,Matellini,Alimentador,1.5,-6603,-71600
290,Expreso8,Javier Prado,Alimentador,1.5,-9652,-75755
291,Expreso8,Angamos,Ruta Troncal,2.5,-7864,-79522
292,Expreso3,Aramburu,Ruta Troncal,2.5,-5076,-76489
293,Expreso1,Matellini,Alimentador,1.5,-5966,-71830
294,Expreso3,Estacion C,Alimentador,1.5,-7473,-76707
295,Expreso5,28 de Julio,Ruta Troncal,2.5,-9562,-79146
296,Expreso9,Estacion E,Ruta Troncal,2.5,-7708,-78419
297,A,Dos de Mayo,Alimentador,1.5,-8368,-75062
298,Expreso2,Benavides,Alimentador,1.5,-5765,-70831
299,Expreso1,Ricardo Palma,Ruta Troncal,2.5,-8486,-71130
300,A,Tacna,Alimentador,1.5,-7388,-76591
301,SXN,Estacion F,Alimentador,1.5,-6850,-78011
302,Expreso2,Estacion E,Alimentador,1.5,-8727,-74138
303,Expreso6,Ricardo Palma,Ruta Troncal,2.5,-7098,-70468
304,C,Mexico,Ruta Troncal,2.5,-7925,-71125
305,SXN,Ramon,Alimentador,1.5,-8367,-71279
306,SXN,Estadio Union,Ruta Troncal,2.5,-8128,-77699
307,Expreso8,Matellini,Alimentador,1.5,-6954,-74738
308,SX,28 de Julio,Ruta Troncal,2.5,-6512,-70832
309,B,Honorio Delgado,Alimentador,1.5,-6160,-76862
310,A,Caqueta,Alimentador,1.5,-5108,-79608
311,Expreso8,España,Ruta Troncal,2.5,-5042,-76431
312,Expreso4,Independencia,Alimentador,1.5,-7654,-74599
313,Expreso3,Javier Prado,Ruta Troncal,2.5,-8685,-71452
314,Expreso9,Mexico,Alimentador,1.5,-8277,-74900
315,Expreso7,Canada,Alimentador,1.5,-6982,-78588
316,SX,Mexico,Ruta Troncal,2.5,-5088,-73580
317,Expreso5,Estadio Nacional,Ruta Troncal,2.5,-8656,-79294
318,Expreso7,Uni,Ruta Troncal,2.5,-8104,-75754
319,SX,Estacion E,Ruta Troncal,2.5,-5540,-79669
320,Expreso3,Dos de Mayo,Ruta Troncal,2.5,-8052,-76548
321,SX,Caqueta,Alimentador,1.5,-6507,-71621
322,Expreso6,Teran,Alimentador,1.5,-5414,-79596
323,C,Matellini,Ruta Troncal,2.5,-7698,-74594
324,C,Estacion A,Ruta Troncal,2.5,-6798,-74861
325,Expreso7,Domingo Orue,Alimentador,1.5,-5869,-70966
326,Expreso2,Parque del trabajo,Alimentador,1.5,-6878,-76151
327,Expreso5,Estacion C,Ruta Troncal,2.5,-9146,-79281
328,B,Tacna,Ruta Troncal,2.5,-6816,-72955
329,Expreso4,Plaza de Flores,Alimentador,1.5,-7360,-71376
330,B,Izaguirre,Alimentador,1.5,-6419,-75919
331,SXN,Quilca,Ruta Troncal,2.5,-7605,-72578
332,Expreso7,Dos de Mayo,Alimentador,1.5,-8227,-76436
333,D,Independencia,Alimentador,1.5,-9702,-74634
334,Expreso3,Central,Ruta Troncal,2.5,-7448,-71423
335,C,Benavides,Alimentador,1.5,-8782,-74332
336,SX,Canada,Alimentador,1.5,-5011,-76806
337,Expreso8,Ricardo Palma,Ruta Troncal,2.5,-8729,-73551
338,D,Mexico,Ruta Troncal,2.5,-5448,-77067
339,Expreso6,Uni,Ruta Troncal,2.5,-7316,-71119
340,Expreso2,Parque del trabajo,Alimentador,1.5,-8562,-76429
341,Expreso8,Domingo Orue,Ruta Troncal,2.5,-8870,-72416
342,Expreso2,Parque del trabajo,Alimentador,1.5,-7857,-71177
343,C,Matellini,Alimentador,1.5,-8911,-72115
344,C,Dos de Mayo,Alimentador,1.5,-7134,-77858
345,C,Domingo Orue,Alimentador,1.5,-8017,-74014
346,C,Quilca,Alimentador,1.5,-8177,-72993
347,Expreso1,Ramon,Alimentador,1.5,-6780,-75064
348,Expreso1,Matellini,Alimentador,1.5,-8336,-73957
349,SX,Pacifico,Alimentador,1.5,-7083,-70474
350,B,Javier Prado,Alimentador,1.5,-5515,-79162
351,Expreso4,Aramburu,Alimentador,1.5,-5725,-78216
352,A,Matellini,Ruta Troncal,2.5,-7508,-77390
353,Expreso5,Pacifico,Ruta Troncal,2.5,-5502,-73337
354,C,Matellini,Alimentador,1.5,-6703,-76387
355,Expreso1,Balta,Ruta Troncal,2.5,-6869,-78606
356,D,Central,Alimentador,1.5,-5722,-77495
357,Expreso6,Pacifico,Alimentador,1.5,-7673,-73885
358,A,Izaguirre,Alimentador,1.5,-5399,-73214
359,Expreso9,Ricardo Palma,Alimentador,1.5,-8695,-70101
360,C,Aramburu,Ruta Troncal,2.5,-6516,-75310
361,D,Parque del trabajo,Alimentador,1.5,-6211,-70247
362,Expreso1,Honorio Delgado,Ruta Troncal,2.5,-6639,-75877
363,Expreso8,Pacifico,Alimentador,1.5,-6739,-79775
364,Expreso7,Estacion F,Ruta Troncal,2.5,-6871,-72442
365,SXN,Estacion B,Alimentador,1.5,-6193,-79087
366,Expreso9,Benavides,Alimentador,1.5,-7697,-71736
367,Expreso2,Central,Alimentador,1.5,-8016,-70207
368,Expreso6,Canaval Moreyra,Ruta Troncal,2.5,-9223,-78279
369,C,Naranjal,Ruta Troncal,2.5,-9933,-76684
370,Expreso6,Estacion C,Ruta Troncal,2.5,-9208,-77942
371,Expreso7,Aramburu,Alimentador,1.5,-9004,-74027
372,A,28 de Julio,Alimentador,1.5,-8518,-77016
373,Expreso9,Estacion F,Ruta Troncal,2.5,-7881,-79638
374,Expreso1,Bulevar,Ruta Troncal,2.5,-9871,-74690
375,Expreso4,Bulevar,Alimentador,1.5,-5916,-77555
376,D,Teran,Alimentador,1.5,-7558,-75723
377,Expreso7,Colmena,Alimentador,1.5,-5918,-78437
378,Expreso9,Tacna,Ruta Troncal,2.5,-9349,-77225
379,Expreso2,Plaza de Flores,Ruta Troncal,2.5,-7060,-78933
380,Expreso6,Rosario de Villa,Alimentador,1.5,-9369,-79871
381,Expreso9,Domingo Orue,Ruta Troncal,2.5,-8437,-73280
382,Expreso9,Benavides,Ruta Troncal,2.5,-9591,-79260
383,Expreso3,Estadio Union,Alimentador,1.5,-6446,-71426
384,SX,Angamos,Ruta Troncal,2.5,-6354,-70897
385,D,Mexico,Ruta Troncal,2.5,-9189,-72028
386,SXN,Naranjal,Alimentador,1.5,-5646,-71224
387,Expreso8,Estacion E,Ruta Troncal,2.5,-6709,-72123
388,Expreso9,Canada,Alimentador,1.5,-6098,-77233
389,SXN,Bulevar,Ruta Troncal,2.5,-9739,-73007
390,SXN,Independencia,Alimentador,1.5,-6691,-70686
391,Expreso7,Estadio Union,Ruta Troncal,2.5,-9323,-70102
392,Expreso8,Canaval Moreyra,Alimentador,1.5,-6470,-71676
393,Expreso3,Jiron de la Union,Ruta Troncal,2.5,-9303,-74547
394,A,Estadio Union,Ruta Troncal,2.5,-6807,-78413
395,Expreso3,Ramon,Ruta Troncal,2.5,-9599,-71015
396,B,Canaval Moreyra,Alimentador,1.5,-5955,-71285
397,Expreso1,Angamos,Ruta Troncal,2.5,-7682,-70099
398,Expreso4,Ricardo Palma,Alimentador,1.5,-9230,-74459
399,Expreso4,Quilca,Alimentador,1.5,-5244,-71494
400,Expreso7,Ramon,Alimentador,1.5,-7130,-74951
401,SX,Caqueta,Alimentador,1.5,-6747,-74889
402,Expreso8,Independencia,Ruta Troncal,2.5,-5177,-77672
403,Expreso9,El milagro,Alimentador,1.5,-6784,-71394
404,A,Colmena,Ruta Troncal,2.5,-8889,-74103
405,Expreso3,Balta,Ruta Troncal,2.5,-6184,-74766
406,B,Canaval Moreyra,Ruta Troncal,2.5,-8619,-74233
407,C,Quilca,Alimentador,1.5,-8610,-71016
408,SX,Jiron de la Union,Ruta Troncal,2.5,-8490,-76072
409,SX,Jiron de la Union,Ruta Troncal,2.5,-9888,-78370
410,Expreso2,Estadio Union,Alimentador,1.5,-5968,-74072
411,SX,Estacion D,Alimentador,1.5,-8988,-72940
412,Expreso9,Angamos,Ruta Troncal,2.5,-9912,-75971
413,Expreso1,Plaza de Flores,Alimentador,1.5,-9156,-71012
414,C,Teran,Ruta Troncal,2.5,-5062,-77945
415,Expreso9,Bulevar,Ruta Troncal,2.5,-7454,-73454
416,SX,Honorio Delgado,Alimentador,1.5,-5426,-71684
417,Expreso8,Central,Alimentador,1.5,-7867,-75025
418,A,Tomas Valle,Ruta Troncal,2.5,-8776,-74648
419,Expreso5,Uni,Ruta Troncal,2.5,-7183,-72080
420,Expreso4,Naranjal,Ruta Troncal,2.5,-7933,-74806
421,B,Escuela Militar,Ruta Troncal,2.5,-9068,-70843
422,SX,Escuela Militar,Alimentador,1.5,-9649,-72895
423,SXN,Bulevar,Alimentador,1.5,-5945,-74658
424,Expreso2,Estadio Nacional,Ruta Troncal,2.5,-7979,-78212
425,D,Honorio Delgado,Alimentador,1.5,-9281,-71938
426,B,El milagro,Alimentador,1.5,-8062,-73797
427,D,Tacna,Ruta Troncal,2.5,-7970,-71311
428,A,Los jasmines,Ruta Troncal,2.5,-9286,-77542
429,C,Bulevar,Alimentador,1.5,-8292,-75369
430,B,Naranjal,Ruta Troncal,2.5,-5579,-75842
