ID,Buses,Estacion,Rutas,Tarifa,Altitud,Longitud
39,Expreso6,Uni,Ruta Troncal,2.5,-5442,-70145
40,Expreso9,Estadio Union,Ruta Troncal,2.5,-8272,-75468
41,Expreso3,El milagro,Alimentador,1.5,-8091,-76555
42,B,Quilca,Ruta Troncal,2.5,-9036,-79743
43,Expreso4,Estadio Union,Ruta Troncal,2.5,-5699,-72450
44,C,Estacion B,Ruta Troncal,2.5,-6707,-73073
45,C,Bulevar,Alimentador,1.5,-5092,-75554
46,Expreso3,Naranjal,Alimentador,1.5,-6699,-75938
47,Expreso5,Quilca,Ruta Troncal,2.5,-8890,-77494
48,Expreso4,Balta,Ruta Troncal,2.5,-9409,-72619
49,Expreso5,Estadio Nacional,Ruta Troncal,2.5,-7414,-70185
50,SX,Escuela Militar,Alimentador,1.5,-8422,-70266
51,Expreso8,Matellini,Alimentador,1.5,-9773,-72494
52,Expreso6,Canada,Alimentador,1.5,-9115,-74818
53,D,Tacna,Ruta Troncal,2.5,-9227,-73693
54,A,Canaval Moreyra,Ruta Troncal,2.5,-5493,-77955
55,Expreso6,Dos de Mayo,Ruta Troncal,2.5,-8604,-73549
56,Expreso1,Teran,Ruta Troncal,2.5,-5976,-72754
57,Expreso3,Independencia,Ruta Troncal,2.5,-8424,-71780
58,Expreso4,Aramburu,Ruta Troncal,2.5,-9133,-70196
59,Expreso8,España,Alimentador,1.5,-8887,-73606
60,C,Balta,Ruta Troncal,2.5,-7519,-72286
61,SXN,Canaval Moreyra,Ruta Troncal,2.5,-6626,-71723
62,Expreso5,Independencia,Alimentador,1.5,-6708,-70165
63,A,El milagro,Ruta Troncal,2.5,-7471,-79593
64,Expreso1,Canada,Alimentador,1.5,-8457,-73858
65,Expreso5,Tacna,Alimentador,1.5,-9757,-73202
66,SX,Parque del trabajo,Ruta Troncal,2.5,-6701,-78538
67,SXN,Estacion D,Alimentador,1.5,-9689,-73136
68,SX,Teran,Ruta Troncal,2.5,-9039,-79345
69,Expreso4,Estacion C,Ruta Troncal,2.5,-9021,-78948
70,C,Canada,Alimentador,1.5,-6700,-77189
71,Expreso9,Independencia,Ruta Troncal,2.5,-9387,-79816
72,SXN,Matellini,Ruta Troncal,2.5,-5366,-76998
73,D,Izaguirre,Ruta Troncal,2.5,-5259,-79024
74,Expreso5,Dos de Mayo,Alimentador,1.5,-8014,-72091
75,C,Independencia,Ruta Troncal,2.5,-5864,-74136
76,Expreso5,Central,Alimentador,1.5,-6053,-73555
77,Expreso9,Pacifico,Ruta Troncal,2.5,-5920,-70389
78,Expreso3,Javier Prado,Ruta Troncal,2.5,-9427,-77293
79,Expreso4,Teran,Ruta Troncal,2.5,-9156,-75667
80,Expreso9,Rosario de Villa,Ruta Troncal,2.5,-7826,-76570
81,B,Izaguirre,Alimentador,1.5,-9995,-72538
82,C,Bulevar,Alimentador,1.5,-5661,-78004
83,Expreso5,Naranjal,Alimentador,1.5,-6715,-72615
84,B,Parque del trabajo,Alimentador,1.5,-6958,-75679
85,Expreso7,Pacifico,Ruta Troncal,2.5,-8962,-71755
86,D,Los jasmines,Alimentador,1.5,-8959,-74266
87,SX,Rosario de Villa,Alimentador,1.5,-6772,-73548
88,D,Escuela Militar,Ruta Troncal,2.5,-7566,-72054
89,Expreso1,Ricardo Palma,Ruta Troncal,2.5,-7213,-75599
90,Expreso7,Tomas Valle,Alimentador,1.5,-6681,-71305
91,B,Izaguirre,Alimentador,1.5,-7568,-78773
92,Expreso1,Balta,Alimentador,1.5,-5155,-78287
93,Expreso9,Escuela Militar,Alimentador,1.5,-6214,-78763
94,SX,Matellini,Alimentador,1.5,-8884,-71135
95,D,Benavides,Alimentador,1.5,-8118,-73278
96,Expreso6,Estadio Union,Alimentador,1.5,-7490,-72480
97,Expreso7,Parque del trabajo,Ruta Troncal,2.5,-8132,-76503
98,B,Caqueta,Alimentador,1.5,-7722,-71354
99,SX,Matellini,Ruta Troncal,2.5,-8148,-77029
100,Expreso3,El milagro,Alimentador,1.5,-7156,-78276
101,C,Canaval Moreyra,Ruta Troncal,2.5,-9692,-74930
102,Expreso9,Escuela Militar,Alimentador,1.5,-8690,-71647
103,Expreso4,El milagro,Alimentador,1.5,-9216,-77194
104,SXN,Jiron de la Union,Alimentador,1.5,-5799,-72620
105,Expreso3,Estacion B,Ruta Troncal,2.5,-6583,-74412
106,A,Matellini,Ruta Troncal,2.5,-6114,-77962
107,A,Balta,Alimentador,1.5,-8987,-75587
108,Expreso3,Canaval Moreyra,Alimentador,1.5,-9709,-73256
109,B,Canada,Ruta Troncal,2.5,-6619,-70219
110,B,Caqueta,Alimentador,1.5,-6041,-73558
111,Expreso1,Matellini,Ruta Troncal,2.5,-9478,-79880
112,A,Benavides,Ruta Troncal,2.5,-9700,-77830
113,Expreso1,Colmena,Ruta Troncal,2.5,-5714,-77910
114,SX,Parque del trabajo,Alimentador,1.5,-7317,-74970
115,Expreso2,Mexico,Ruta Troncal,2.5,-5260,-78850
116,B,Tomas Valle,Ruta Troncal,2.5,-7446,-77166
117,Expreso9,Tacna,Ruta Troncal,2.5,-9162,-75567
118,Expreso2,Estacion C,Ruta Troncal,2.5,-7685,-78813
119,D,Caqueta,Ruta Troncal,2.5,-5524,-72984
120,Expreso3,Matellini,Alimentador,1.5,-7915,-76480
121,D,Honorio Delgado,Alimentador,1.5,-6596,-75303
122,Expreso9,Teran,Ruta Troncal,2.5,-7493,-76768
123,C,Estacion E,Ruta Troncal,2.5,-8718,-70385
124,Expreso1,Balta,Ruta Troncal,2.5,-9126,-75051
125,A,Central,Alimentador,1.5,-9031,-77043
126,Expreso5,Domingo Orue,Alimentador,1.5,-9707,-77141
127,Expreso6,Uni,Alimentador,1.5,-6420,-75251
128,B,Ramon,Ruta Troncal,2.5,-9803,-79892
129,Expreso7,Estacion D,Ruta Troncal,2.5,-8199,-75142
130,C,Javier Prado,Alimentador,1.5,-8379,-78073
131,Expreso1,Jiron de la Union,Alimentador,1.5,-7571,-73703
132,SXN,España,Alimentador,1.5,-9971,-74688
133,SXN,Naranjal,Alimentador,1.5,-7028,-70785
134,Expreso6,Honorio Delgado,Alimentador,1.5,-7788,-73699
135,B,Colmena,Ruta Troncal,2.5,-5731,-75880
136,B,Ricardo Palma,Ruta Troncal,2.5,-6494,-74709
137,Expreso2,Rosario de Villa,Ruta Troncal,2.5,-6589,-72396
138,A,Pacifico,Alimentador,1.5,-6011,-72787
139,SX,Independencia,Alimentador,1.5,-7690,-71650
140,C,Ricardo Palma,Ruta Troncal,2.5,-7358,-73987
141,Expreso7,Estacion A,Ruta Troncal,2.5,-9129,-78722
142,Expreso7,Balta,Ruta Troncal,2.5,-6717,-78159
143,Expreso4,Independencia,Ruta Troncal,2.5,-7238,-76835
144,D,28 de Julio,Ruta Troncal,2.5,-9754,-71379
145,SXN,Central,Alimentador,1.5,-7277,-76455
146,Expreso3,Estadio Union,Ruta Troncal,2.5,-9325,-76555
147,A,Tomas Valle,Alimentador,1.5,-6376,-74436
148,Expreso1,Naranjal,Alimentador,1.5,-9508,-76885
149,D,Rosario de Villa,Alimentador,1.5,-8389,-75933
150,Expreso2,Quilca,Alimentador,1.5,-8893,-74864
151,C,Quilca,Alimentador,1.5,-6909,-72431
152,SXN,España,Ruta Troncal,2.5,-9174,-74964
153,SXN,Naranjal,Ruta Troncal,2.5,-5568,-77725
154,C,Domingo Orue,Ruta Troncal,2.5,-9149,-79772
155,Expreso4,Caqueta,Ruta Troncal,2.5,-9239,-73401
156,C,Benavides,Ruta Troncal,2.5,-7305,-76319
157,SXN,Jiron de la Union,Alimentador,1.5,-8488,-71250
158,D,Mexico,Alimentador,1.5,-5018,-77297
159,Expreso3,Jiron de la Union,Ruta Troncal,2.5,-8490,-70924
160,Expreso3,Javier Prado,Alimentador,1.5,-7766,-77373
161,Expreso5,Estacion B,Ruta Troncal,2.5,-8137,-73159
162,A,Ramon,Alimentador,1.5,-6638,-77267
163,D,Estacion A,Alimentador,1.5,-5719,-78287
164,B,Tacna,Alimentador,1.5,-8740,-79191
165,Expreso7,Tacna,Ruta Troncal,2.5,-9636,-72893
166,Expreso3,Estacion A,Ruta Troncal,2.5,-7585,-70605
167,Expreso8,Benavides,Ruta Troncal,2.5,-7824,-75225
168,Expreso7,Estacion A,Ruta Troncal,2.5,-5838,-75724
169,Expreso8,Canaval Moreyra,Alimentador,1.5,-5426,-76126
170,SXN,Estacion B,Alimentador,1.5,-7206,-76585
171,Expreso5,Izaguirre,Alimentador,1.5,-8418,-70253
172,C,Angamos,Alimentador,1.5,-5378,-73571
173,Expreso7,Domingo Orue,Ruta Troncal,2.5,-9603,-78209
174,Expreso1,Estacion B,Ruta Troncal,2.5,-8826,-70547
175,Expreso1,28 de Julio,Ruta Troncal,2.5,-6994,-78649
176,Expreso5,Matellini,Ruta Troncal,2.5,-7344,-79378
177,SXN,Tacna,Alimentador,1.5,-5423,-77465
178,C,Estacion F,Alimentador,1.5,-6267,-76714
179,Expreso9,Pacifico,Ruta Troncal,2.5,-9876,-77454
180,Expreso2,Bulevar,Alimentador,1.5,-6270,-75923
181,Expreso4,Uni,Alimentador,1.5,-7042,-70314
182,Expreso4,España,Ruta Troncal,2.5,-5873,-72974
183,SX,Estacion D,Alimentador,1.5,-5678,-73872
184,Expreso8,Naranjal,Ruta Troncal,2.5,-5720,-79494
185,Expreso7,El milagro,Ruta Troncal,2.5,-5815,-79643
186,Expreso3,Canada,Alimentador,1.5,-8183,-78501
187,B,Ramon,Alimentador,1.5,-9701,-72561
188,Expreso1,Estacion E,Alimentador,1.5,-8401,-77230
189,SX,Plaza de Flores,Ruta Troncal,2.5,-9954,-73166
190,Expreso6,Naranjal,Alimentador,1.5,-6587,-73251
191,Expreso1,Quilca,Ruta Troncal,2.5,-5408,-72382
192,Expreso9,Jiron de la Union,Alimentador,1.5,-9131,-72644
193,Expreso4,Estadio Nacional,Alimentador,1.5,-8103,-71472
194,Expreso7,Tomas Valle,Ruta Troncal,2.5,-8904,-75130
195,Expreso1,Benavides,Ruta Troncal,2.5,-7487,-72394
196,Expreso4,Naranjal,Alimentador,1.5,-9069,-72906
197,Expreso6,Estacion F,Ruta Troncal,2.5,-9296,-78361
198,SX,Izaguirre,Ruta Troncal,2.5,-5644,-77365
199,Expreso4,Pacifico,Ruta Troncal,2.5,-8361,-71778
200,SX,Pacifico,Alimentador,1.5,-9802,-70180
201,Expreso9,Angamos,Ruta Troncal,2.5,-5979,-72350
202,Expreso6,Javier Prado,Alimentador,1.5,-9115,-78970
203,Expreso9,Los jasmines,Ruta Troncal,2.5,-7405,-71742
204,Expreso3,28 de Julio,Ruta Troncal,2.5,-9401,-72750
205,Expreso9,Javier Prado,Ruta Troncal,2.5,-5000,-71309
206,D,Ricardo Palma,Ruta Troncal,2.5,-7611,-76624
207,Expreso9,Balta,Alimentador,1.5,-5081,-72737
208,Expreso9,Tacna,Alimentador,1.5,-5448,-76053
209,SXN,Tomas Valle,Alimentador,1.5,-9886,-71419
210,Expreso4,Quilca,Alimentador,1.5,-5396,-79267
211,Expreso4,Pacifico,Alimentador,1.5,-5650,-76395
212,Expreso9,Aramburu,Ruta Troncal,2.5,-8402,-71078
213,Expreso1,Rosario de Villa,Ruta Troncal,2.5,-7102,-79104
214,Expreso8,Mexico,Alimentador,1.5,-7904,-79949
215,Expreso8,Teran,Ruta Troncal,2.5,-9876,-75446
216,Expreso5,Escuela Militar,Alimentador,1.5,-6951,-78117
217,A,Estacion C,Alimentador,1.5,-8996,-72101
218,Expreso2,Plaza de Flores,Ruta Troncal,2.5,-9012,-78400
219,Expreso2,Estacion F,Alimentador,1.5,-5317,-79121
220,Expreso9,Quilca,Ruta Troncal,2.5,-8223,-76420
221,SX,Plaza de Flores,Alimentador,1.5,-9709,-70084
222,Expreso5,Independencia,Ruta Troncal,2.5,-8623,-71786
223,Expreso2,Canada,Alimentador,1.5,-9012,-74997
224,A,Bulevar,Ruta Troncal,2.5,-9919,-73585
225,Expreso2,Bulevar,Alimentador,1.5,-9487,-72283
226,B,Canaval Moreyra,Ruta Troncal,2.5,-7103,-72593
227,Expreso8,Estacion A,Ruta Troncal,2.5,-8358,-79009
228,Expreso9,Jiron de la Union,Ruta Troncal,2.5,-9817,-70843
229,SX,Izaguirre,Ruta Troncal,2.5,-7570,-78421
230,A,Javier Prado,Ruta Troncal,2.5,-7834,-72114
231,Expreso7,Teran,Ruta Troncal,2.5,-6606,-74992
232,Expreso5,Estacion D,Ruta Troncal,2.5,-9676,-79037
233,Expreso4,El milagro,Ruta Troncal,2.5,-7224,-74405
234,Expreso7,Uni,Alimentador,1.5,-6709,-73207
235,Expreso8,Canada,Ruta Troncal,2.5,-9843,-70601
236,D,Naranjal,Alimentador,1.5,-6137,-74298
237,Expreso5,Naranjal,Alimentador,1.5,-9661,-79878
238,Expreso7,Domingo Orue,Ruta Troncal,2.5,-5678,-77829
239,C,Rosario de Villa,Ruta Troncal,2.5,-9796,-76448
240,Expreso8,Quilca,Ruta Troncal,2.5,-6041,-71549
241,SXN,Estacion F,Alimentador,1.5,-8452,-79757
242,Expreso7,Parque del trabajo,Alimentador,1.5,-7380,-76695
243,D,España,Alimentador,1.5,-6763,-71937
244,Expreso8,Balta,Ruta Troncal,2.5,-6154,-71672
245,Expreso6,Honorio Delgado,Alimentador,1.5,-9379,-70596
246,Expreso6,Estacion E,Ruta Troncal,2.5,-5244,-72197
247,Expreso4,Balta,Alimentador,1.5,-7108,-71164
248,Expreso2,Tacna,Alimentador,1.5,-6079,-71323
249,Expreso2,Caqueta,Ruta Troncal,2.5,-9185,-70023
250,Expreso3,Canada,Ruta Troncal,2.5,-6864,-78130
251,SXN,Caqueta,Alimentador,1.5,-9297,-75465
252,C,Estacion F,Ruta Troncal,2.5,-6840,-71427
253,A,Honorio Delgado,Ruta Troncal,2.5,-6559,-70456
254,C,Estacion B,Ruta Troncal,2.5,-9766,-75719
255,C,Pacifico,Alimentador,1.5,-6614,-74790
256,Expreso4,Tomas Valle,Ruta Troncal,2.5,-8770,-72148
257,SXN,Estacion D,Alimentador,1.5,-9201,-76766
258,SX,Estacion C,Ruta Troncal,2.5,-9234,-70621
259,Expreso4,Estacion B,Ruta Troncal,2.5,-9623,-71788
260,B,Aramburu,Ruta Troncal,2.5,-6200,-74114
261,B,Balta,Alimentador,1.5,-7255,-76118
262,A,Bulevar,Ruta Troncal,2.5,-8478,-76970
263,Expreso8,28 de Julio,Ruta Troncal,2.5,-8763,-78270
264,C,Estadio Union,Ruta Troncal,2.5,-8768,-75160
265,Expreso3,Mexico,Alimentador,1.5,-9606,-74789
266,D,Canada,Alimentador,1.5,-9593,-71982
267,Expreso3,Mexico,Alimentador,1.5,-8170,-71211
268,Expreso6,Uni,Alimentador,1.5,-9969,-75856
269,Expreso9,Estadio Nacional,Ruta Troncal,2.5,-8870,-75068
270,B,Balta,Ruta Troncal,2.5,-5753,-72556
271,B,Caqueta,Alimentador,1.5,-7850,-76934
272,Expreso1,Ramon,Ruta Troncal,2.5,-6816,-77918
273,Expreso7,Parque del trabajo,Ruta Troncal,2.5,-9222,-79732
274,Expreso7,España,Alimentador,1.5,-6630,-78796
275,D,Bulevar,Ruta Troncal,2.5,-7718,-73114
276,A,Estacion B,Alimentador,1.5,-5985,-75219
277,Expreso7,Rosario de Villa,Ruta Troncal,2.5,-5357,-74676
278,Expreso3,Angamos,Alimentador,1.5,-7561,-72130
279,Expreso9,Rosario de Villa,Alimentador,1.5,-8475,-75383
280,Expreso8,Tacna,Ruta Troncal,2.5,-6379,-79789
281,Expreso9,Mexico,Alimentador,1.5,-6622,-73835
282,Expreso7,Escuela Militar,Ruta Troncal,2.5,-7807,-72382
283,C,28 de Julio,Alimentador,1.5,-5944,-78101
284,SXN,Central,Alimentador,1.5,-9805,-76926
285,B,Estacion B,Alimentador,1.5,-7501,-79565
286,D,Ricardo Palma,Ruta Troncal,2.5,-6126,-73122
287,SXN,El milagro,Alimentador,1.5,-8957,-70718
288,Expreso5,Aramburu,Alimentador,1.5,-8572,-74256
289,Expreso5,Estacion E,Ruta Troncal,2.5,-9714,-70102
290,B,Mexico,Alimentador,1.5,-5211,-74721
291,SXN,Estacion F,Alimentador,1.5,-7115,-79838
292,Expreso6,Benavides,Ruta Troncal,2.5,-6014,-79795
293,Expreso3,Estacion F,Alimentador,1.5,-6834,-75026
294,C,Bulevar,Ruta Troncal,2.5,-9415,-75659
295,C,Jiron de la Union,Ruta Troncal,2.5,-6871,-70676
296,Expreso6,Quilca,Ruta Troncal,2.5,-5578,-72477
297,A,Javier Prado,Ruta Troncal,2.5,-8184,-70458
298,Expreso8,Estacion F,Ruta Troncal,2.5,-9056,-73761
299,SXN,Estacion B,Ruta Troncal,2.5,-5889,-77009
300,SXN,Javier Prado,Alimentador,1.5,-6105,-71952
301,Expreso1,Javier Prado,Ruta Troncal,2.5,-6910,-71558
302,Expreso1,Domingo Orue,Ruta Troncal,2.5,-7237,-74897
303,SX,Escuela Militar,Ruta Troncal,2.5,-5581,-71074
304,Expreso6,Colmena,Ruta Troncal,2.5,-5381,-71843
305,Expreso2,Mexico,Ruta Troncal,2.5,-6756,-73014
306,C,Estacion B,Alimentador,1.5,-9990,-78898
307,C,Dos de Mayo,Alimentador,1.5,-8645,-71742
308,SX,Estadio Nacional,Alimentador,1.5,-7760,-79333
309,Expreso3,Angamos,Ruta Troncal,2.5,-7384,-71922
310,Expreso7,Balta,Ruta Troncal,2.5,-9894,-74970
311,A,Central,Ruta Troncal,2.5,-8847,-79931
312,D,Tomas Valle,Alimentador,1.5,-6182,-78485
313,Expreso7,Estacion D,Ruta Troncal,2.5,-6549,-70167
314,Expreso7,Estacion C,Alimentador,1.5,-7237,-74843
315,D,Caqueta,Alimentador,1.5,-8440,-71982
316,Expreso2,Tomas Valle,Ruta Troncal,2.5,-8280,-78980
317,Expreso2,Canaval Moreyra,Ruta Troncal,2.5,-7906,-73837
318,D,Tomas Valle,Ruta Troncal,2.5,-7029,-78102
319,Expreso6,Uni,Ruta Troncal,2.5,-6847,-74876
320,Expreso5,Javier Prado,Ruta Troncal,2.5,-5068,-73124
321,Expreso3,Independencia,Ruta Troncal,2.5,-6836,-75738
322,Expreso8,Central,Ruta Troncal,2.5,-7422,-79719
323,SX,Dos de Mayo,Ruta Troncal,2.5,-7290,-78405
324,Expreso9,Estacion D,Alimentador,1.5,-9684,-74497
325,Expreso9,Ramon,Ruta Troncal,2.5,-5548,-75912
326,C,Quilca,Alimentador,1.5,-6126,-70814
327,Expreso8,Canaval Moreyra,Ruta Troncal,2.5,-8733,-70835
328,C,Honorio Delgado,Alimentador,1.5,-6820,-78581
329,SXN,Balta,Ruta Troncal,2.5,-6243,-73509
330,SX,Naranjal,Ruta Troncal,2.5,-9158,-79033
331,Expreso1,Angamos,Alimentador,1.5,-9882,-75963
332,Expreso7,Parque del trabajo,Ruta Troncal,2.5,-6736,-75885
333,B,Parque del trabajo,Alimentador,1.5,-6262,-75011
334,Expreso3,Izaguirre,Alimentador,1.5,-9044,-73743
335,Expreso3,Parque del trabajo,Ruta Troncal,2.5,-8719,-75380
336,Expreso8,Tomas Valle,Ruta Troncal,2.5,-5001,-73053
337,SXN,Estadio Union,Ruta Troncal,2.5,-6279,-72020
338,Expreso5,Los jasmines,Ruta Troncal,2.5,-5367,-73431
339,Expreso2,28 de Julio,Alimentador,1.5,-9229,-79377
340,SXN,Naranjal,Alimentador,1.5,-6966,-79845
341,Expreso1,Los jasmines,Alimentador,1.5,-8819,-76183
342,SXN,Estacion B,Alimentador,1.5,-8976,-73459
343,C,Angamos,Alimentador,1.5,-5167,-72823
344,D,Domingo Orue,Ruta Troncal,2.5,-8641,-74457
345,SX,Angamos,Ruta Troncal,2.5,-5068,-79492
346,Expreso1,Ricardo Palma,Ruta Troncal,2.5,-6474,-73959
347,C,Central,Ruta Troncal,2.5,-5745,-77109
348,B,Estacion F,Alimentador,1.5,-9538,-79417
349,Expreso5,Angamos,Alimentador,1.5,-5473,-77537
350,Expreso7,Estacion A,Alimentador,1.5,-8693,-72688
351,Expreso3,Ricardo Palma,Ruta Troncal,2.5,-9111,-70088
352,Expreso4,Estacion B,Ruta Troncal,2.5,-8724,-70359
353,Expreso5,Ricardo Palma,Ruta Troncal,2.5,-5174,-72801
354,Expreso1,Estacion B,Ruta Troncal,2.5,-8468,-73292
355,B,El milagro,Ruta Troncal,2.5,-6484,-77726
356,SX,El milagro,Ruta Troncal,2.5,-7923,-77223
357,A,Javier Prado,Ruta Troncal,2.5,-5496,-76255
358,Expreso2,Balta,Ruta Troncal,2.5,-6919,-70947
359,Expreso1,Parque del trabajo,Ruta Troncal,2.5,-7168,-73917
360,Expreso3,Naranjal,Ruta Troncal,2.5,-8582,-76793
361,SX,Caqueta,Ruta Troncal,2.5,-8871,-71437
362,Expreso1,Aramburu,Ruta Troncal,2.5,-9849,-77054
363,SX,Central,Alimentador,1.5,-6535,-74388
364,SX,Los jasmines,Ruta Troncal,2.5,-9758,-78512
365,Expreso5,Plaza de Flores,Alimentador,1.5,-6527,-79786
366,Expreso3,Escuela Militar,Ruta Troncal,2.5,-9754,-74610
367,Expreso6,Canada,Ruta Troncal,2.5,-7858,-78502
368,Expreso4,Ramon,Alimentador,1.5,-9508,-73414
369,Expreso6,Mexico,Alimentador,1.5,-9983,-78719
370,C,Quilca,Ruta Troncal,2.5,-7446,-78596
371,Expreso9,Benavides,Ruta Troncal,2.5,-8854,-79699
372,SX,Estacion C,Ruta Troncal,2.5,-9654,-71026
373,Expreso7,Estacion E,Ruta Troncal,2.5,-8968,-76739
374,Expreso5,El milagro,Alimentador,1.5,-5523,-78922
375,Expreso9,Los jasmines,Alimentador,1.5,-9608,-79054
376,D,Los jasmines,Ruta Troncal,2.5,-9258,-77825
377,SXN,Plaza de Flores,Ruta Troncal,2.5,-8646,-74906
378,Expreso2,Uni,Alimentador,1.5,-6667,-73726
379,Expreso6,Estadio Union,Alimentador,1.5,-6743,-74445
380,Expreso5,Javier Prado,Ruta Troncal,2.5,-8901,-77647
381,Expreso3,Ricardo Palma,Alimentador,1.5,-9344,-76800
382,Expreso9,Angamos,Alimentador,1.5,-9003,-77695
383,D,Izaguirre,Alimentador,1.5,-6010,-76935
384,SXN,Estadio Union,Alimentador,1.5,-6903,-74449
385,C,Quilca,Alimentador,1.5,-6223,-78907
386,Expreso8,Independencia,Ruta Troncal,2.5,-8146,-78819
387,D,Estadio Nacional,Alimentador,1.5,-5742,-76876
388,D,Estacion B,Ruta Troncal,2.5,-6795,-72590
389,SX,Aramburu,Alimentador,1.5,-5976,-77901
390,Expreso4,Parque del trabajo,Ruta Troncal,2.5,-7336,-72994
391,Expreso6,Balta,Alimentador,1.5,-5710,-74106
392,SX,Estacion B,Ruta Troncal,2.5,-6883,-70539
393,SXN,Izaguirre,Ruta Troncal,2.5,-6761,-71476
394,B,Estadio Union,Ruta Troncal,2.5,-5413,-73707
395,B,Independencia,Alimentador,1.5,-6862,-78027
396,Expreso2,Estacion A,Alimentador,1.5,-7723,-70460
397,Expreso4,Estacion C,Ruta Troncal,2.5,-5832,-77291
398,Expreso5,Escuela Militar,Ruta Troncal,2.5,-5852,-74883
399,A,Quilca,Alimentador,1.5,-7819,-70530
400,Expreso9,Estacion E,Alimentador,1.5,-5935,-78201
401,Expreso3,Escuela Militar,Alimentador,1.5,-9657,-73152
402,B,El milagro,Ruta Troncal,2.5,-5799,-72870
403,Expreso8,Angamos,Ruta Troncal,2.5,-9762,-79155
404,SX,Quilca,Ruta Troncal,2.5,-9375,-72928
405,A,Ramon,Alimentador,1.5,-9508,-76629
406,Expreso5,El milagro,Alimentador,1.5,-8279,-71363
407,Expreso8,Estadio Nacional,Ruta Troncal,2.5,-7358,-78483
408,Expreso5,Quilca,Ruta Troncal,2.5,-6130,-70229
409,Expreso9,Jiron de la Union,Ruta Troncal,2.5,-8931,-75869
410,Expreso5,Independencia,Ruta Troncal,2.5,-9864,-76325
411,Expreso3,Caqueta,Ruta Troncal,2.5,-6580,-72419
412,SX,Honorio Delgado,Ruta Troncal,2.5,-8181,-70873
413,Expreso8,Pacifico,Ruta Troncal,2.5,-9067,-78583
414,Expreso3,Aramburu,Ruta Troncal,2.5,-7490,-76263
415,Expreso7,Ricardo Palma,Alimentador,1.5,-8401,-70949
416,SXN,Ramon,Alimentador,1.5,-8798,-78820
417,SX,Pacifico,Alimentador,1.5,-7201,-71510
418,C,Benavides,Alimentador,1.5,-9635,-78334
419,D,Aramburu,Ruta Troncal,2.5,-6527,-73356
420,Expreso6,Dos de Mayo,Alimentador,1.5,-9978,-77836
421,SXN,28 de Julio,Alimentador,1.5,-6532,-71153
422,Expreso6,Caqueta,Alimentador,1.5,-6368,-79118
423,SXN,Estadio Nacional,Ruta Troncal,2.5,-9208,-71270
424,Expreso7,Tomas Valle,Ruta Troncal,2.5,-5830,-79384
425,Expreso5,Izaguirre,Alimentador,1.5,-6302,-74035
426,Expreso6,Estadio Nacional,Ruta Troncal,2.5,-5606,-74967
427,SX,Colmena,Alimentador,1.5,-5473,-77542
428,Expreso9,Tomas Valle,Ruta Troncal,2.5,-8376,-75850
